Vrest,Upstroke,Vpeak,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,GKr_0.06__Label,PCa_15.13__Label
-87.745,57.678,40.436,146.29,230.46,258.52,346.69,88.176,0.00035713,0.00043085,194.39,505.01,310.62,7.5747e-05,1,1
-87.638,47.135,36.473,150.3,222.44,246.49,318.64,72.144,0.00035681,0.00051401,278.56,653.31,374.75,0.00016385,1,1
-87.845,56.787,39.24,100.2,144.29,156.31,198.4,42.084,0.00034495,0.00042772,206.41,519.04,312.63,8.5332e-05,0,0
-88.068,54.008,40,138.28,204.41,220.44,272.55,52.104,0.00033535,0.00041798,196.39,478.96,282.57,8.4247e-05,1,1
-87.875,58.413,41.277,124.25,196.39,214.43,278.56,64.128,0.00024818,0.00032235,254.51,587.17,332.67,7.7014e-05,1,1
-87.88,54.033,40.217,148.3,214.43,232.46,294.59,62.124,0.00046194,0.00055109,214.43,537.07,322.65,9.3246e-05,1,1
-87.888,53.522,36.074,104.21,144.29,156.31,206.41,50.1,0.0004505,0.00053842,186.37,486.97,300.6,9.0738e-05,0,0
-87.804,55.726,38.457,130.26,192.38,210.42,266.53,56.112,0.00022906,0.00031238,270.54,605.21,334.67,8.6222e-05,1,1
-87.93,56.32,38.426,140.28,208.42,230.46,322.65,92.184,0.00032787,0.00041163,264.53,619.24,354.71,8.8584e-05,0,1
-88.255,55.957,41.382,152.3,214.43,232.46,296.59,64.128,0.00034856,0.00042641,274.55,635.27,360.72,8.3632e-05,1,1
-88.009,54.735,38.076,124.25,178.36,194.39,256.51,62.124,0.00033048,0.00043761,244.49,585.17,340.68,0.00011093,0,0
-87.856,53.516,39.315,152.3,220.44,242.48,330.66,88.176,0.00031333,0.00042288,248.5,579.16,330.66,0.00011285,1,1
-87.821,49.696,36.843,170.34,264.53,294.59,380.76,86.172,0.0002598,0.00032947,276.55,623.25,346.69,7.342e-05,1,1
-87.828,55.672,42.086,148.3,218.44,240.48,320.64,80.16,0.00027442,0.00036756,286.57,601.2,314.63,9.6279e-05,1,1
-87.938,49.649,36.641,120.24,164.33,174.35,216.43,42.084,0.00036302,0.00043754,190.38,470.94,280.56,7.6326e-05,1,0
-88.154,55.136,37.925,128.26,192.38,208.42,264.53,56.112,0.00022201,0.00029447,256.51,591.18,334.67,7.508e-05,0,0
-87.924,54.879,38.187,160.32,226.45,246.49,322.65,76.152,0.00038357,0.00047443,234.47,559.12,324.65,9.4518e-05,1,1
-88.244,54.043,39.845,150.3,216.43,232.46,286.57,54.108,0.00040544,0.00045362,208.42,535.07,326.65,5.1975e-05,1,1
-87.918,54.322,38.371,178.36,278.56,310.62,404.81,94.188,0.00044764,0.00051913,182.36,511.02,328.66,7.4637e-05,1,1
-88.195,55.108,38.245,134.27,200.4,218.44,278.56,60.12,0.00037488,0.00043997,198.4,505.01,306.61,6.7582e-05,1,1
-88.099,55.246,39.206,144.29,204.41,220.44,276.55,56.112,0.00050147,0.00059204,164.33,444.89,280.56,9.3031e-05,0,0
-87.989,56.97,41.797,116.23,166.33,178.36,218.44,40.08,0.00039124,0.0004776,174.35,440.88,266.53,8.7952e-05,1,0
-87.786,55.31,41.71,132.26,184.37,198.4,252.51,54.108,0.00051379,0.00061215,218.44,547.09,328.66,0.00010337,1,1
-87.917,51.468,36.157,144.29,218.44,238.48,306.61,68.136,0.00031559,0.00038963,250.5,595.19,344.69,7.8122e-05,1,1
-87.792,53.744,32.801,142.28,202.4,220.44,280.56,60.12,0.0004696,0.0005309,174.35,460.92,286.57,6.3776e-05,0,1
-88.019,51.594,40.284,170.34,274.55,302.61,384.77,82.164,0.00040428,0.00047836,214.43,553.11,338.68,7.8048e-05,1,1
-87.839,55.538,40.008,128.26,178.36,190.38,242.48,52.104,0.00025731,0.00037832,288.58,641.28,352.71,0.00012515,1,0
-87.997,54.05,35.632,140.28,218.44,244.49,316.63,72.144,0.00039227,0.00046162,186.37,494.99,308.62,7.1647e-05,0,1
-88.274,50.279,38.699,162.32,248.5,270.54,346.69,76.152,0.0003601,0.0004364,166.33,446.89,280.56,7.7626e-05,0,1
-88.099,51.445,35.709,144.29,222.44,244.49,320.64,76.152,0.00047064,0.00054937,166.33,444.89,278.56,8.0622e-05,1,1
-88.125,56.437,40.946,144.29,212.42,234.47,306.61,72.144,0.00042024,0.00047486,202.4,529.06,326.65,5.8104e-05,1,1
-87.803,57.147,41.606,126.25,198.4,214.43,270.54,56.112,0.00044213,0.00050511,208.42,517.03,308.62,6.6501e-05,1,1
-88.054,56.064,37.357,116.23,174.35,192.38,252.51,60.12,0.00042689,0.00046743,176.35,476.95,300.6,4.3242e-05,0,0
-87.99,58.035,41.448,102.2,166.33,182.36,234.47,52.104,0.00041109,0.00047421,202.4,525.05,322.65,6.6656e-05,0,0
-88.047,55.875,39.568,154.31,246.49,272.55,356.71,84.168,0.00032356,0.00039278,276.55,637.27,360.72,7.4697e-05,1,1
-87.983,53.168,36.925,124.25,176.35,190.38,244.49,54.108,0.00031402,0.00038943,214.43,539.08,324.65,7.8276e-05,0,0
-87.784,57.02,40.18,120.24,178.36,194.39,252.51,58.116,0.0005266,0.00064346,148.3,392.79,244.49,0.00011783,1,0
-88.02,55.02,39.395,148.3,200.4,214.43,272.55,58.116,0.00034945,0.00045724,266.53,629.26,362.73,0.00011335,1,1
-88.092,52.62,36.465,124.25,178.36,192.38,236.47,44.088,0.00035719,0.00041515,128.26,336.67,208.42,5.8121e-05,0,0
